target_id	length	eff_length	est_counts	tpm
NM_058326	2139	1862.82	0	0
NM_058327	1572	1295.82	0	0
NM_001261918	1797	1520.82	0	0
NM_001261919	1800	1523.82	0	0
NM_058329	1929	1652.82	0	0
NM_001306333	1500	1223.82	0	0
NM_058330	1221	944.821	0	0
NM_058331	1497	1220.82	0	0
NM_001025812	3666	3389.82	0	0
NM_058333	453	193.118	0	0
NM_058334	1110	833.821	0	0
NR_131342	557	287.898	0	0
NM_058335	1338	1061.82	0	0
NM_001306256	552	283.304	0	0
NM_058336	1380	1103.82	0	0
NM_058337	309	78.0646	0	0
NM_001026495	2364	2087.82	0	0
NM_001306255	2166	1889.82	0	0
NM_001306265	747	472.224	0	0
NM_058339	900	624.015	0	0
NM_058340	975	698.821	0	0
NM_058341	1860	1583.82	0	0
NM_001306264	1725	1448.82	0	0
NM_001306268	519	252.64	0	0
NM_058342	645	372.369	0	0
NM_001306266	2031	1754.82	0	0
NM_058343	2160	1883.82	0	0
NM_001306267	2181	1904.82	0	0
NR_049907	150	20.6458	7	56.4472
NM_001129077	129	22	0	0
NM_001129076	162	22.5604	0	0
NR_049910	112	31.4444	0	0
NR_049911	289	68.8936	0	0
NM_001261937	282	65.6873	0	0
NR_131343	1131	854.821	0	0
NM_001306348	840	564.194	0	0
NR_101514	72	34.1818	0	0
NM_058347	582	311.259	0	0
NM_001306344	543	274.674	0	0
NM_001306345	144	19.3808	0	0
NM_058348	588	317.132	0	0
NM_182046	594	322.808	0	0
NR_049912	128	22.0328	0	0
NM_170794	2385	2108.82	0	0
NM_171831	2379	2102.82	0	0
NR_101515	157	21.8059	0	0
NM_001306342	1524	1247.82	0	0
NM_001306343	1518	1241.82	0	0
NM_058350	2730	2453.82	0	0
NR_049913	128	22.0328	0	0
NM_001306340	627	354.553	0	0
NM_001306341	669	395.525	0	0
NM_001306339	828	552.194	0	0
NM_058351	786	510.732	0	0
NM_001306337	657	383.915	0	0
NM_001306338	699	425.028	0	0
NM_058352	1134	857.821	0	0
NM_001026626	444	185.224	0	0
NM_001306346	1278	1001.82	0	0
NM_058353	1182	905.821	0	0
NM_182075	1362	1085.82	0	0
NM_001026333	576	305.665	0	0
NM_001306283	213	34.5444	0	0
NM_001261950	5604	5327.82	0	0
NM_001261951	5643	5366.82	0	0
NM_001306280	537	269.035	0	0
NM_001306282	957	680.821	0	0
NM_001306281	1182	905.821	0	0
NM_058356	1365	1088.82	0	0
NM_182059	2571	2294.82	0	0
NM_058357	2664	2387.82	0	0
NM_058358	375	127.579	0	0
NR_101516	213	34.5444	0	0
NR_101517	110	30.814	50	270.147
NM_001306318	840	564.194	0	0
NM_058360	1200	923.821	0	0
NM_058361	627	354.553	0	0
NM_001306316	1308	1031.82	0	0
NM_001306317	1347	1070.82	0	0
NM_058362	1266	989.821	0	0
NM_001306319	288	68.3701	0	0
NM_058363	471	208.944	0	0
NM_058364	1329	1052.82	0	0
NM_058365	1386	1109.82	0	0
NM_001306320	1176	899.821	0	0
NM_001306321	618	345.801	0	0
NM_001026562	1404	1127.82	0	0
NM_001306249	585	314.196	0	0
NM_182093	819	543.413	0	0
NM_001306251	417	162.189	0	0
NM_001306250	651	378.03	0	0
NM_058367	1305	1028.82	0	0
NM_058368	1452	1175.82	0	0
NM_058369	663	389.643	0	0
NM_058370	813	537.413	0	0
NM_001306240	1830	1553.82	0	0
NM_001306241	2247	1970.82	0	0
NM_001306242	2904	2627.82	0	0
NM_001306243	3921	3644.82	0	0
NM_058371	3777	3500.82	0	0
NM_001306247	144	19.3808	0	0
NM_058372	1110	833.821	0	0
NM_058373	2034	1757.82	0	0
NM_001306245	1716	1439.82	0	0
NM_001306244	1185	908.821	0	0
NM_001306246	243	47.8066	0	0
NM_001026563	1965	1688.82	0	0
NM_001306254	210	33.4019	0	0
NM_001047236	906	630.015	0	0
NM_001306252	705	430.899	0	0
NM_001306253	519	252.64	0	0
NM_058375	1467	1190.82	0	0
NR_072346	85	26.3636	0	0
NM_058376	456	195.708	0	0
NM_001306248	195	28.9132	0	0
NM_058377	504	238.756	0	0
NM_001026441	1366	1089.82	0	0
NM_001026440	1518	1241.82	0	0
NM_058379	1740	1463.82	0	0
NM_182009	1821	1544.82	0	0
NR_049918	221	37.7021	68	300.276
NR_049919	146	20.0867	0	0
NR_049921	123	23.7778	0	0
NR_049922	299	73.1775	0	0
NR_049923	144	19.3808	0	0
NM_001306304	4848	4571.82	0	0
NR_049926	183	26.4291	0	0
NR_049927	148	20.4387	0	0
NM_001306305	3762	3485.82	0	0
NR_049928	51	25.7143	0	0
NR_049929	271	61.1575	0	0
NM_001306306	3708	3431.82	0	0
NM_001306307	3414	3137.82	0	0
NM_001306308	3072	2795.82	0	0
NM_001306309	2187	1910.82	0	0
NM_058381	2193	1916.82	0	0
NM_001026671	1185	908.821	0	0
NM_058382	1605	1328.82	0	0
NM_182008	1611	1334.82	0	0
NR_049931	321	85.6787	148	287.585
NM_058384	2295	2018.82	0	0
NM_001306261	1461	1184.82	0	0
NM_058386	2283	2006.82	0	0
NR_051839	23	7.66667	0	0
NM_001129083	2094	1817.82	0	0
NM_001306260	594	322.808	0	0
NM_001306259	900	624.015	0	0
NM_058387	594	322.808	0	0
NM_182019	312	79.7817	0	0
NM_001306263	324	87.8797	0	0
NM_001306262	1233	956.821	0	0
NM_058388	1242	965.821	0	0
NM_058389	1074	797.821	0	0
NM_001306257	381	132.276	0	0
NM_001306258	348	106.066	0	0
NR_101518	143	19.7544	0	0
NM_058390	843	567.137	0	0
NM_001037903	1866	1589.82	0	0
NM_001037904	1842	1565.82	0	0
NM_001129085	1869	1592.82	0	0
NM_001129086	1845	1568.82	0	0
NM_001129084	1887	1610.82	0	0
NM_001129087	1863	1586.82	0	0
NR_049932	150	20.6458	0	0
NM_058393	387	137.228	0	0
NM_058394	2058	1781.82	0	0
NR_050996	62	27.3	11	67.0822
NR_049935	91	31	0	0
NM_001026573	1590	1313.82	0	0
NM_058395	1578	1301.82	0	0
NR_052806	91	31	2	10.741
NM_001306322	531	263.688	0	0
NM_058397	1083	806.821	0	0
NM_058398	951	674.821	0	0
NM_058399	246	49.1458	0	0
NM_058400	231	42.1429	3	11.8515
NM_058401	159	22.0741	0	0
NM_058402	1275	998.821	0	0
NM_058403	1140	863.821	588	113.326
NR_049938	449	189.626	0	0
NR_049939	300	73.5101	0	0
NM_058404	1467	1190.82	429	59.9774
NM_058405	828	552.194	125	37.6874
NM_058406	807	531.627	0	0
NM_001306269	171	24.6487	10	67.5433
NM_170795	315	81.7963	64	130.264
NM_001026570	315	81.7963	21	42.7428
NM_058407	1242	965.821	3880	668.824
NM_058408	1590	1313.82	888	112.526
NM_001306323	2352	2075.82	123.779	9.9274
NM_001306327	2343	2066.82	1144.24	92.1707
NM_001306324	2133	1856.82	0	0
NM_001306328	2124	1847.82	0	0
NM_001306325	1116	839.821	31.8795	6.31977
NM_001306326	528	260.903	58.0964	37.0721
NM_058410	1245	968.821	605.58	104.065
NM_001306329	900	624.015	0	0
NM_001306330	232	42.5228	185.42	725.96
NM_058411	318	83.5631	1279	2548.2
NM_001306331	303	74.9066	28.431	63.19
NM_001083150	387	137.228	302.037	366.433
NM_001083151	537	269.035	1022.53	632.768
NM_058415	1293	1016.82	7513	1230.12
NM_058414	981	704.821	2153	508.56
NM_058416	1137	860.821	22363	4325.08
NM_001306228	858	582.137	0	0
NM_058418	537	269.035	523	323.645
NM_001262029	393	142.18	74.928	87.7368
NM_001262030	183	26.4291	86.072	542.196
NM_058419	1176	899.821	3067	567.459
NM_001306271	1467	1190.82	613	85.702
NM_001306272	1278	1001.82	0	0
NM_001306273	1320	1043.82	210	33.4942
NR_052813	92	32	0	0
NR_049941	83	26.85	24	148.814
NM_058422	690	416.239	886.842	354.715
NM_001306270	435	177.34	75.1583	70.5581
NM_001306300	483	219.777	176.106	133.404
NM_001306299	1713	1436.82	9.92925e-06	1.15051e-06
NM_001306298	2613	2336.82	0	0
NM_001306297	2649	2372.82	0	0
NM_001306296	3738	3461.82	3195.89	153.697
NM_170798	579	308.447	1080	582.935
NR_049942	177	25.1555	0	0
NR_049943	292	70.4628	8	18.902
NM_170799	564	294.366	82089.6	46427.8
NM_171832	480	217.186	1.38654	1.06286
NM_058426	576	305.665	441	240.199
NM_001306302	204	31.2866	16.407	87.3067
NM_001306301	1554	1277.82	0	0
NM_058427	2007	1730.82	1028.59	98.9392
NM_058428	3210	2933.82	14237	807.908
NR_131344	861	585.137	419	119.216
NM_058429	2055	1778.82	9940.96	930.407
NM_001306293	1455	1178.82	0	0
NM_001306294	861	585.137	0	0
NM_001306295	549	280.39	1084.04	643.663
NM_058433	3060	2783.82	6808.47	407.179
NM_001262043	171	24.6487	26.0574	176
NM_058434	237	45.0217	76.9426	284.526
NM_001306507	549	280.39	0.000578983	0.00034378
NM_058435	837	561.194	75091	22276.8
NM_001306503	2067	1790.82	0	0
NM_001306504	1932	1655.82	0	0
NM_001306505	1515	1238.82	0	0
NM_001306506	642	369.406	199.534	89.9267
NM_001026608	420	164.586	354	358.087
NM_001306483	573	302.819	402.709	221.404
NM_001306482	1692	1415.82	2785.04	327.491
NM_058436	1692	1415.82	5581.25	656.297
NR_049945	235	43.9866	217.196	822.069
NR_049946	131	21.5069	1.8041	13.9656
NR_049947	49	23.7143	25.5	179.022
NR_049948	49	23.7143	25.5	179.022
NM_058437	1020	743.821	1796	401.99
NM_058438	339	99.0712	37	62.1772
NM_058439	4278	4001.82	19213	799.309
NR_049949	145	19.7596	54	454.98
NM_001306486	3795	3518.82	10.2585	0.485362
NM_001306487	3090	2813.82	0	0
NM_001306488	2784	2507.82	3562.74	236.518
NM_001083137	450	190.565	39	34.072
NM_001262053	402	149.802	10.4351	11.5973
NM_001306485	444	185.224	72.7253	65.368
NM_001262052	213	34.5444	52.8396	254.659
NM_001083138	399	147.263	424	479.345
NM_001083139	501	235.879	333	235.035
NM_001306489	210	33.4019	0	0
NM_058441	276	63.6027	1208	3162.05
NM_001306484	693	419.156	207.109	82.2623
NM_058442	1497	1220.82	5422.89	739.53
NM_170800	1278	1001.82	6998.07	1162.96
NM_001306499	612	340.007	389.929	190.93
NM_170801	453	193.118	1726	1487.97
NM_058445	1194	917.821	3381	613.287
NM_058446	687	413.323	1980	797.541
NM_058447	1725	1448.82	1791	205.806
NM_058448	1206	929.821	372	66.6071
NM_058450	534	266.254	578	361.417
NM_001037901	1914	1637.82	10313.5	1048.37
NM_001037902	816	540.413	97.5213	30.0435
NM_058453	897	621.015	2277	610.433
NM_058454	429	172.016	454	439.404
NR_101519	135	21.5402	22	170.039
NM_058455	3660	3383.82	1924.33	94.678
NR_050688	24	8.66667	0	0
NR_049950	100	30	2.18065	12.1016
NM_001306528	627	354.553	149	69.9653
NM_001306501	1629	1352.82	31.2175	3.8418
NM_001306502	1095	818.821	120.453	24.491
NM_058457	1041	764.821	27	5.87734
NM_058458	1710	1433.82	2180	253.127
NM_058459	1773	1496.82	4347.28	483.531
NM_001306500	1539	1262.82	0	0
NR_049951	21	5.66667	0	0
NM_001306490	72	34.1818	2.72443	13.2696
NM_001306497	4137	3860.82	2030.83	87.5733
NM_058460	4128	3851.82	13533.2	584.939
NR_067860	20	4.66667	0	0
NM_001306494	3159	2882.82	3263.55	188.473
NR_131345	3627	3350.82	1990.45	98.8954
NM_001306495	2667	2390.82	0	0
NM_001306496	2007	1730.82	0	0
NM_001306363	2175	1898.82	9089.49	796.953
NM_058464	1491	1214.82	3929.51	538.521
NR_049952	21	5.66667	0	0
NM_001306491	1614	1337.82	244.637	30.444
NM_058465	1602	1325.82	5072.55	636.969
NM_001306492	1434	1157.82	0	0
NR_049953	90	31.3636	60.8194	322.844
NM_001306493	678	404.404	499.811	205.763
NM_001262080	1020	743.821	31.7786	7.11285
NM_001262081	1449	1172.82	1042.03	147.92
NM_001306477	717	442.636	175.192	65.8938
NM_001306476	1146	869.821	320.995	61.4391
NM_058467	432	174.792	4452	4240.43
NM_058469	1392	1115.82	4513	673.361
NM_058470	270	60.6418	383	1051.49
NM_001026658	1677	1400.82	2216.21	263.393
NM_001306479	1053	776.821	0	0
NM_001306480	900	624.015	0	0
NM_001306481	552	283.304	95.7913	56.2926
NM_001306478	657	383.915	104.583	45.3527
NM_058471	1152	875.821	1529.42	290.728
NM_001047247	672	398.485	4898.41	2046.54
NM_001047248	441	182.42	180.591	164.817
NM_058473	2043	1766.82	197	18.5631
NM_001306515	1446	1169.82	0	0
NM_001306514	1617	1340.82	23.0643	2.86383
NM_058474	1977	1700.82	3985.18	390.091
NM_001026649	525	258.115	200.759	129.491
NM_058475	930	653.821	31	7.89368
NM_001306513	771	495.983	0	0
NM_058476	597	325.644	829	423.827
NM_001026655	448	188.766	6.51091	5.74241
NM_001306523	703	428.942	10.4891	4.07114
NM_058477	825	549.249	70	21.2181
NM_058478	819	543.413	305	93.4431
NM_001026651	591	320.035	216.58	112.667
NM_001026650	762	487.032	799.42	273.272
NM_001262100	1050	773.821	743	159.855
NM_058480	1227	950.821	973	170.369
NM_001306522	495	230.724	109.689	79.1493
NM_001306521	1272	995.821	778.233	130.108
NR_049955	149	20.3892	209.929	1714.16
NR_131346	1324	1047.82	1732.15	275.217
NR_101520	268	59.5404	0	0
NM_058481	732	457.411	11553.7	4205.24
NM_001306512	291	69.8639	4174.32	9947.4
NM_058482	234	43.4286	390	1495.09
NM_058483	1527	1250.82	3272	435.507
NM_182058	492	227.986	404.812	295.612
NM_001306511	822	546.358	1020.41	310.938
NM_058484	828	552.194	204.778	61.7403
NM_001026647	2991	2714.82	9553.9	585.891
NM_058485	7662	7385.82	23736	535.039
NM_001262110	5673	5396.82	5017.14	154.773
NM_001306510	4536	4259.82	5567.99	217.613
NR_049956	111	30.4444	0	0
NR_000173	99	29	0	0
NM_001306516	489	225.221	45.0385	33.2929
NM_058487	1545	1268.82	1334.96	175.164
NM_058488	957	680.821	1660	405.931
NM_170803	1722	1445.82	549.135	63.2326
NM_170802	2187	1910.82	2627.14	228.897
NM_001306509	471	208.944	304.729	242.808
NM_058490	2220	1943.82	4245	363.579
NM_001306517	792	516.732	0	0
NM_058491	1224	947.821	1451	254.87
NM_001306518	243	47.8066	30.5992	106.561
NM_058492	1230	953.821	666.401	116.318
NR_101522	94	31.4	7	37.1147
NM_058493	390	139.669	18	21.4561
NM_058494	1152	875.821	535	101.699
NM_001306508	243	47.8066	0	0
NM_058495	357	113.338	42	61.6953
NM_058496	2850	2573.82	0	0
NR_131347	3773	3496.82	288	13.7119
NM_058497	975	698.821	31799	7575.73
NM_058498	423	167.208	92	91.6026
NM_001026654	789	513.732	225	72.916
NM_058499	966	689.821	477	115.122
NM_001306520	615	342.87	0	0
NM_001306519	762	487.032	109.812	37.538
NM_001026652	1002	725.821	91.1876	20.9162
NR_101523	643	370.406	2209	992.875
NM_058500	1470	1193.82	109.36	15.2509
NM_058501	1464	1187.82	436.64	61.1997
NM_001047179	255	53.3791	196	611.311
NM_001306498	1251	974.821	3.32722	0.568242
NM_170804	1665	1388.82	43763.7	5246.2
NR_131348	1707	1430.82	812.147	94.4989
NR_131349	1640	1363.82	1858.24	226.841
NR_131350	1515	1238.82	10.5809	1.42198
NM_058504	411	157.128	71885	76166.2
NM_170806	1068	791.821	36797	7736.82
NM_001026403	912	636.015	0	0
NM_001306428	339	99.0712	0	0
NR_049958	67	32.3	60	309.261
NR_101524	97	30.8571	2590	13974
NM_058506	501	235.879	953	672.637
NM_058507	243	47.8066	3626	12627.5
NM_058508	1269	992.821	376	63.0513
NM_001306427	735	460.411	0	0
NM_001083140	249	50.7026	17	55.8207
NM_001306426	540	271.925	422.088	258.423
NM_001306425	810	534.574	7.33196e-08	2.28344e-08
NM_058510	1008	731.821	4574.91	1040.77
NM_058512	2610	2333.82	24532.5	1750.05
NM_001306423	990	713.821	1157.51	269.967
NM_058513	1392	1115.82	72	10.7427
NM_058514	2661	2384.82	528.364	36.8854
NM_001129082	3339	3062.82	2702.45	146.897
NM_170807	570	300.124	1530	848.726
NR_101525	123	23.7778	8	56.0139
NM_001262149	840	564.194	280.19	82.6803
NM_170809	1476	1199.82	1592	220.904
NM_001037899	1797	1520.82	1991.79	218.043
NM_001037900	1278	1001.82	309.152	51.3758
NM_001306466	1167	890.821	0	0
NM_001306467	492	227.986	96.0563	70.1446
NM_001306468	246	49.1458	0	0
NM_001306473	405	152.218	8	8.74988
NM_001306472	228	40.9903	166.854	677.694
NM_001306470	894	618.015	0	0
NM_001306471	969	692.821	0	0
NM_001306469	939	662.821	110.198	27.6792
NM_170811	1014	737.821	1553.95	350.641
NM_001026610	831	555.194	1721	516.076
NM_170812	1014	737.821	3412.82	770.086
NM_001306465	693	419.156	226.178	89.8364
NM_170813	918	642.015	390.444	101.249
NM_001306463	633	360.517	0	0
NM_001306464	381	132.276	79.5557	100.131
NM_001306410	1794	1517.82	0	0
NM_058515	2787	2510.82	6145	407.458
NR_101526	92	32	70	364.188
NM_058516	1461	1184.82	10517	1477.8
NM_001306409	363	118.088	396.293	558.712
NM_058517	2151	1874.82	20126.7	1787.27
NR_101527	2375	2098.82	473	37.52
NM_001026565	1038	761.821	458	100.09
NM_058521	1209	932.821	1642	293.057
NM_058522	204	31.2866	321	1708.14
NM_058523	249	50.7026	2065	6780.58
NM_001037897	1113	836.821	158.577	31.5489
NM_001037898	1104	827.821	554.423	111.502
NM_001306411	567	297.246	0	0
NM_001306412	558	288.839	0	0
NR_049961	134	21.4012	0	0
NM_170818	336	97.0001	81520	139916
NM_058527	267	59.0908	0	0
NM_058526	438	179.844	125654	116321
NR_003393	140	20.9123	7	55.728
NR_049962	143	19.7544	0	0
NR_003392	139	21.3146	55	429.599
NR_049963	219	36.9042	9	40.6016
NM_058528	828	552.194	3982	1200.57
NM_058529	1029	752.821	7019.31	1552.32
NR_131351	364	118.867	2474.69	3466.07
NM_001129065	1134	857.821	941.83	182.79
NM_001306419	1176	899.821	2955.23	546.779
NM_058530	1113	836.821	2624.04	522.053
NM_001306413	972	695.821	0	0
NM_001306414	909	633.015	0	0
NM_001306415	594	322.808	0	0
NM_001306416	354	110.815	553.904	832.172
NM_001306417	192	28.1053	0	0
NR_049964	222	38.327	9	39.0944
NR_003391	119	26.3188	21	132.84
NM_001306418	117	27.1613	0	0
NM_001306421	1062	785.821	0	0
NM_001306420	1467	1190.82	2365	330.645
NR_052037	20	4.66667	0	0
NM_170819	2364	2087.82	3346.79	266.877
NR_131352	2931	2654.82	1183.95	74.2463
NM_001306422	1968	1691.82	602.262	59.2664
NM_001047237	480	217.186	117	89.6872
NM_001037896	1530	1253.82	1981	263.042
NM_001026574	2493	2216.82	7929.92	595.546
NM_001026575	2514	2237.82	7808.08	580.893
NR_049965	20	4.66667	0	0
NM_001306350	375	127.579	283	369.303
NR_049967	21	5.66667	0	0
NM_001026489	4983	4706.82	771.668	27.2948
NM_001026490	4689	4412.82	7152.25	269.838
NM_001306400	4695	4418.82	563.945	21.2475
NM_058537	4977	4700.82	8320.08	294.666
NM_001306401	4149	3872.82	212.354	9.12872
NM_001306402	3861	3584.82	129.202	6.00038
NM_001306403	3963	3686.82	110.213	4.97687
NM_001306404	3675	3398.82	61.4371	3.0094
NM_001306405	3684	3407.82	0.0262858	0.00128417
NM_001306406	3396	3119.82	0.00634427	0.000338555
NM_001306529	3759	3482.82	3818.38	182.526
NM_001306407	3438	3161.82	1.63949e-08	8.63272e-10
NM_001306408	3150	2873.82	0	0
NM_001026488	2037	1760.82	93.4423	8.83497
NM_001026486	774	498.834	82	27.3675
NM_001306397	405	152.218	0	0
NM_058541	708	433.856	51	19.5705
NM_001306398	3267	2990.82	666.05	37.0761
NM_001306399	3258	2981.82	368.95	20.5998
NM_058543	552	283.304	15	8.81487
NM_058544	4116	3839.82	354	15.3486
NM_001306430	1353	1076.82	324	50.0932
NM_001306431	1275	998.821	0	0
NM_058546	1641	1364.82	777.006	94.7819
NM_171833	1515	1238.82	166.956	22.4374
NR_131353	1648	1371.82	1225.05	148.673
NR_131354	2033	1756.82	767.517	72.734
NM_001306429	210	33.4019	28.4759	141.933
NM_001306432	6330	6053.82	788.306	21.6792
NM_058548	6441	6164.82	26962.7	728.148
NR_050574	84	26.5714	0	0
NR_050575	84	26.5714	0	0
NM_058550	483	219.777	58.3624	44.2108
NM_001306424	168	23.9592	1.63756	11.379
NM_058551	993	716.821	1323	307.274
NM_058552	2367	2090.82	44249	3523.41
NM_170821	1524	1247.82	462.937	61.7656
NM_058554	2073	1796.82	5274	488.666
NM_170822	1449	1172.82	162.063	23.0054
NM_001306434	1716	1439.82	0	0
NM_058555	1869	1592.82	705	73.6884
NM_001262203	1260	983.821	1041	176.162
NM_001262204	1206	929.821	0	0
NM_058557	1398	1121.82	910.913	135.185
NM_001306435	1131	854.821	0.0874786	0.0170374
NM_001306436	117	27.1613	0	0
NM_058558	336	97.0001	445	763.774
NM_058559	1410	1133.82	21516	3159.32
NR_049972	166	23.596	605	4268.68
NM_001306433	1431	1154.82	176.808	25.4897
NM_058560	1425	1148.82	124.192	17.9977
NM_001306393	225	39.6683	12.0806	50.7017
NM_058561	2472	2195.82	991.919	75.2067
NM_001306395	186	26.9001	0	0
NM_001262210	390	139.669	206	245.553
NM_058562	1833	1556.82	53	5.6678
NM_170823	870	594.137	18	5.04386
NM_058563	684	410.323	28	11.3608
NM_001026585	1566	1289.82	128	16.5218
NM_058565	2754	2477.82	320	21.5009
NM_001262216	515	248.923	44	29.4282
NR_053795_1	20	4.66667	0	0
NM_001306391	2952	2675.82	409.451	25.4754
NR_131355	3133	2856.82	294.636	17.1704
NR_131356	3022	2745.82	105.166	6.37649
NM_001306392	2838	2561.82	384.747	25.0036
NM_058568	1737	1460.82	7307	832.758
NM_001306394	1092	815.821	0.000352729	7.19819e-05
NM_170825	1761	1484.82	7126.47	799.056
NM_170824	2841	2564.82	10449.5	678.292
NM_001262221	1893	1616.82	94.3484	9.71515
NM_001262222	1887	1610.82	387.743	40.075
NM_001306389	930	653.821	20.0154	5.09663
NM_001306390	924	647.821	113.894	29.2699
NR_003394	65	30.3	0	0
NR_049977	72	34.1818	0	0
NM_170826	735	460.411	1329	480.57
NM_001306385	552	283.304	0	0
NM_001306386	381	132.276	1.14906e-05	1.44623e-05
NM_001306384	180	25.8581	25.7158	165.569
NM_058572	768	492.983	2903.28	980.471
NM_058573	618	345.801	2673	1286.92
NM_058574	1254	977.821	95	16.1749
NM_058575	906	630.015	27	7.13493
NM_058576	702	427.985	57	22.1729
NM_058577	900	624.015	1667	444.751
NM_001306388	78	36.9167	0	0
NM_001306387	228	40.9903	58	235.572
NM_001262231	346	104.534	89.5908	142.686
NM_001262230	753	478.129	468.409	163.101
NM_182064	1317	1040.82	0	0
NM_058582	1365	1088.82	621	94.9537
NM_058584	474	211.701	2772	2179.95
NM_001306377	285	67.2679	265.047	655.983
NM_001026659	2115	1838.82	4481.77	405.777
NM_001306356	476	213.501	287.18	223.94
NM_058586	450	190.565	157	137.162
NM_058587	984	707.821	14721.1	3462.54
NM_001306355	222	38.327	3150.88	13686.9
NM_058588	2199	1922.82	3617	313.175
NM_001306360	954	677.821	0	0
NM_001306361	837	561.194	0	0
NM_058589	1686	1409.82	2058	243.029
NR_049978	89	30.3636	1	5.48306
NR_003390	144	19.3808	198	1700.87
NR_049979	21	5.66667	0	0
NM_058591	1224	947.821	1183	207.795
NR_131357	60	28.2222	12	70.7892
NM_058592	591	320.035	193	100.401
NM_058593	525	258.115	33	21.2852
NM_058595	216	35.7724	3	13.9621
NM_058596	522	255.405	200	130.37
NM_001262252	840	564.194	2.34714	0.692608
NM_001306362	795	519.732	2.65286	0.84979
NM_058597	708	433.856	9	3.45361
NM_058598	825	549.249	10	3.03115
NM_058599	330	92.3773	2	3.60447
NM_058600	537	269.035	22	13.6141
NR_070388	90	31.3636	0	0
NR_070389	90	31.3636	0	0
NM_058601	1614	1337.82	4821.97	600.072
NR_131358	1618	1341.82	1184.35	146.947
NR_131359	1671	1394.82	6758.62	806.708
NR_131780	1606	1329.82	891.066	111.556
NM_058603	1026	749.821	3179.83	706.031
NR_131360	1851	1574.82	3427.17	362.311
NM_001026388	2706	2429.82	384.143	26.3206
NR_131361	3311	3034.82	6687.86	366.886
NM_001026391	1557	1280.82	469.318	61.0037
NR_131362	1642	1365.82	921.682	112.348
NR_049980	323	87.1364	37.5	71.6487
NR_049981	323	87.1364	37.5	71.6487
NM_170830	1929	1652.82	13753.4	1385.36
